Organism,Limb.length,Limb.width,Observer
Homo sapiens,38,3.28,John F
Mus musculus,3,0.64,Jesse P
Drosophila melanogaster,0.52,0.09,Michael T
Macaca mulatta,12,1.23,Anthony C
Pantheras tigris,25,2.55,Michael F
Varanus komodoensis,8,4.11,Noah B
Elephas maximus,63,11.4,Julia H
Homo sapiens,33,2.93,Aaryan C
Mus musculus,3.2,0.78,Erika M
Drosophila melanogaster,0.46,0.08,Olivier R
Macaca mulatta,11,1.19,Jesse P
Pantheras tigris,27,2.69,Michael T
Varanus komodoensis,9,4.15,Anthony C
Elephas maximus,66,11.3,Michael F
Homo sapiens,36,3.64,Noah B
Mus musculus,3.11,0.66,Julia H
Drosophila melanogaster,0.54,0.1,Aaryan C
Macaca mulatta,11,1.25,Erika M
Pantheras tigris,23,2.61,Olivier R
Varanus komodoensis,9,4.62,Jesse P
Elephas maximus,64,11.8,Michael T